draw_date,n1,n2,n3,n4,n5,sum,over_92_5,odd_count,even_count,low_count,high_count,repeat_from_previous,rolling_sum_5,rolling_over_rate_5,rolling_sum_10,rolling_over_rate_10,rolling_sum_20,rolling_over_rate_20,rolling_sum_50,rolling_over_rate_50,rolling_sum_100,rolling_over_rate_100
2026-06-29,4,8,25,30,31,98,True,2,3,2,3,0,98.0,1.0,98.0,1.0,98.0,1.0,98.0,1.0,98.0,1.0
2026-06-30,2,3,16,21,36,78,False,2,3,3,2,0,88.0,0.5,88.0,0.5,88.0,0.5,88.0,0.5,88.0,0.5
2026-07-01,4,8,18,25,30,85,False,1,4,3,2,0,87.0,0.3333333333333333,87.0,0.3333333333333333,87.0,0.3333333333333333,87.0,0.3333333333333333,87.0,0.3333333333333333
2026-07-02,2,6,7,13,27,55,False,3,2,4,1,0,79.0,0.25,79.0,0.25,79.0,0.25,79.0,0.25,79.0,0.25
2026-07-04,16,17,25,28,36,122,True,2,3,2,3,0,87.6,0.4,87.6,0.4,87.6,0.4,87.6,0.4,87.6,0.4
